Organization,Country,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date
Macejkovic Group,Switzerland,Energy & Utilities,Small,Michael Brown,3/5/2024,Services,Disqualified,3,,,779,30,1/17/2025,
Volkman and Sons,Portugal,Banking and Finance,Small,Sarah Davis,4/18/2024,SAAS,Disqualified,3,,,1369,10,5/27/2024,
Russel Group,France,Construction & Engineering,Small,Laura Thompson,4/27/2024,SAAS,Disqualified,3,,,585,50,6/9/2024,
"Romaguera, Fadel and Jast",Switzerland,Banking and Finance,Small,John Smith,5/9/2024,Services,Disqualified,3,,,372,100,4/18/2025,
"Kris, Bode and Fisher",France,Manufacturing & Production,Small,Laura Thompson,4/27/2024,Services,Disqualified,3,,,1915,30,10/21/2024,
"Sawayn, Hansen and Marquardt",Germany,Government Administration Healthcare,Small,John Smith,2/24/2024,Services,Disqualified,3,,,1932,90,9/26/2024,
"Kutch, Batz and McGlynn",France,Government Administration Healthcare,Small,Laura Thompson,4/15/2024,Services,Disqualified,3,,,1366,40,8/12/2024,
Mohr-Bogisich,Italy,Transportation & Logistics,Small,David Wilson,5/19/2024,SAAS,Disqualified,3,,,1379,60,1/5/2025,
Christiansen Inc,Germany,Banking and Finance,Small,Laura Thompson,1/3/2024,SAAS,Disqualified,3,,,689,90,11/14/2024,
Adams-Koch,Austria,IT & IT Services,Small,David Wilson,3/24/2024,SAAS,Disqualified,3,,,791,50,9/24/2024,
Ebert-Howe,Austria,Agriculture & Mining,Small,Jessica Martinez,1/25/2024,Services,Disqualified,3,,,680,20,9/24/2024,
Collins Group,Italy,Banking and Finance,Small,David Wilson,1/28/2024,Services,Disqualified,3,,,655,90,12/11/2024,
"Russel, Beahan and Hoppe",Austria,Government Administration Healthcare,Small,Kevin Anderson,1/13/2024,Services,Disqualified,3,,,1273,20,3/8/2024,
"Jast, Upton and Bosco",Portugal,Transportation & Logistics,Small,Jessica Martinez,5/19/2024,Services,Disqualified,3,,,556,20,3/21/2025,
Schimmel-Doyle,Italy,Education & Science,Small,Laura Thompson,2/18/2024,Services,Disqualified,3,,,281,20,9/16/2024,
Schneider-Lesch,Switzerland,Entertainment & Media & Hospitality,Small,John Smith,5/10/2024,SAAS,Disqualified,3,,,598,40,12/11/2024,
Harris-Boyle,Switzerland,Banking and Finance,Small,Emily Johnson,4/4/2024,Services,Disqualified,3,,,1896,100,12/28/2024,
"Wehner, Botsford and Brown",Spain,Professional Services  & Consulting,Small,Emily Johnson,2/29/2024,SAAS,Disqualified,3,,,1206,70,1/24/2025,
Wilkinson-Jast,Spain,Government Administration Healthcare,Small,Laura Thompson,3/16/2024,Services,Disqualified,3,,,1915,10,2/9/2025,
Littel-Cummerata,Switzerland,Entertainment & Media & Hospitality,Small,Laura Thompson,2/11/2024,Services,Disqualified,3,,,766,30,5/29/2024,
"Weber, Morissette and Douglas",Spain,Banking and Finance,Small,Michael Brown,4/18/2024,SAAS,Disqualified,3,,,1609,80,8/2/2024,
"Ondricka, Will and Goldner",Austria,Energy & Utilities,Small,Jessica Martinez,3/23/2024,SAAS,Disqualified,3,,,560,60,5/1/2024,
Tromp-Walter,France,Energy & Utilities,Small,Michael Brown,1/2/2024,Services,Disqualified,3,,,432,20,9/26/2024,
Schumm-Dickens,Switzerland,Banking and Finance,Small,Emily Johnson,5/20/2024,SAAS,Disqualified,3,,,625,90,6/24/2024,
Hessel-Grant,Belgium,Telecommunications,Small,Michael Brown,4/4/2024,Services,Disqualified,3,,,980,30,6/25/2024,
"Mayer, Cruickshank and Spencer",Italy,Transportation & Logistics,Small,Sarah Davis,4/2/2024,SAAS,Disqualified,3,,,1471,40,2/23/2025,
"O'Reilly, Hane and Toy",Spain,Telecommunications,Small,Michael Brown,4/20/2024,SAAS,Disqualified,3,,,900,40,7/1/2024,
"Upton, Pacocha and Keeling",Germany,Professional Services  & Consulting,Small,Sarah Davis,1/28/2024,SAAS,Disqualified,3,,,1289,60,7/25/2024,
"Leffler, Daniel and Runolfsdottir",France,Construction & Engineering,Small,John Smith,5/31/2024,Custom solution,Disqualified,3,,,250,20,1/2/2025,
Nienow Inc,France,IT & IT Services,Small,David Wilson,2/5/2024,Services,Disqualified,3,,,657,40,4/23/2024,
Ernser-Franecki,Germany,Professional Services  & Consulting,Small,Sarah Davis,1/18/2024,Services,Disqualified,3,,,1258,60,6/1/2024,
Stroman Inc,Portugal,Education & Science,Small,Jessica Martinez,5/3/2024,Services,Disqualified,3,,,360,30,6/22/2024,
"Cartwright, Medhurst and Harris",France,Entertainment & Media & Hospitality,Small,Michael Brown,4/18/2024,SAAS,Disqualified,3,,,1626,50,8/14/2024,
Torp and Sons,Italy,Recreation & Sports,Small,Jessica Martinez,2/15/2024,SAAS,Disqualified,3,,,472,50,10/6/2024,
"Russel, Upton and Kuhn",Austria,Transportation & Logistics,Small,Emily Johnson,5/8/2024,Services,Disqualified,3,,,727,40,10/20/2024,
"Huels, Gottlieb and Hoppe",Switzerland,Government Administration Healthcare,Small,Jessica Martinez,1/29/2024,Custom solution,Disqualified,3,,,1801,90,7/3/2024,
Podcat,Switzerland,Manufacturing & Production,Micro,Laura Thompson,3/19/2024,SAAS,Disqualified,3,,,926,30,2/25/2025,
Bubblemix,Italy,Telecommunications,Micro,Laura Thompson,3/4/2024,Services,Disqualified,3,,,438,30,8/1/2024,
Aibox,Italy,Recreation & Sports,Micro,Jessica Martinez,1/5/2024,Services,Disqualified,3,,,577,30,6/29/2024,
Topdrive,Germany,Professional Services  & Consulting,Micro,Michael Brown,3/18/2024,Services,Disqualified,3,,,530,40,1/27/2025,
Shuffledrive,Austria,Telecommunications,Micro,Michael Brown,1/2/2024,SAAS,Disqualified,3,,,696,60,12/18/2024,
Abatz,Belgium,Banking and Finance,Micro,Laura Thompson,4/29/2024,SAAS,Disqualified,3,,,214,20,5/21/2024,
Demivee,Italy,Agriculture & Mining,Micro,Sarah Davis,4/16/2024,SAAS,Disqualified,3,,,744,30,12/22/2024,
Oyoloo,Belgium,Energy & Utilities,Micro,Jessica Martinez,2/14/2024,Services,Disqualified,3,,,368,50,7/23/2024,
"Reichel, Hamill and Hand",Netherlands,Banking and Finance,Micro,Kevin Anderson,4/15/2024,Services,Disqualified,3,,,963,30,11/20/2024,
Johns-Blanda,Germany,Transportation & Logistics,Micro,Laura Thompson,5/8/2024,Services,Disqualified,3,,,960,50,2/12/2025,
Carroll-Collier,France,Entertainment & Media & Hospitality,Micro,Michael Brown,4/20/2024,SAAS,Disqualified,3,,,1053,10,8/29/2024,
McKenzie and Sons,Switzerland,Manufacturing & Production,Micro,Sarah Davis,5/13/2024,SAAS,Disqualified,3,,,1035,50,1/5/2025,
Abbott-Schumm,France,Recreation & Sports,Micro,David Wilson,4/3/2024,SAAS,Disqualified,3,,,951,50,3/2/2025,
Watsica LLC,Switzerland,Government Administration Healthcare,Micro,Laura Thompson,5/5/2024,SAAS,Disqualified,3,,,788,20,3/2/2025,
"Bradtke, Kuhic and Wiza",France,Banking and Finance,Micro,Laura Thompson,1/23/2024,Custom solution,Disqualified,3,,,674,50,6/5/2024,
Kilback LLC,France,Construction & Engineering,Micro,John Smith,1/28/2024,Services,Disqualified,3,,,1140,20,3/7/2024,
"Treutel, Tillman and Wuckert",Switzerland,Telecommunications,Micro,Kevin Anderson,4/22/2024,Services,Disqualified,3,,,1087,90,11/2/2024,
"Erdman, Ward and Aufderhar",Italy,Education & Science,Micro,Michael Brown,5/3/2024,Services,Disqualified,3,,,1110,30,12/30/2024,
Smith LLC,France,Transportation & Logistics,Micro,Kevin Anderson,2/7/2024,SAAS,Disqualified,3,,,885,70,4/24/2024,
O'Kon-Watsica,France,Transportation & Logistics,Micro,Michael Brown,1/23/2024,SAAS,Disqualified,3,,,1174,60,1/3/2025,
Beer-Carter,France,IT & IT Services,Micro,David Wilson,2/8/2024,SAAS,Disqualified,3,,,350,50,5/25/2024,
Hilll Inc,Italy,Construction & Engineering,Micro,Jessica Martinez,4/3/2024,Services,Disqualified,3,,,552,30,1/10/2025,
Maggio LLC,Portugal,Professional Services  & Consulting,Micro,David Wilson,5/19/2024,Custom solution,Disqualified,3,,,595,40,12/23/2024,
Connelly-Thompson,Italy,Transportation & Logistics,Micro,Michael Brown,5/14/2024,SAAS,Disqualified,3,,,341,90,3/24/2025,
"Lind, Mueller and O'Conner",Switzerland,Education & Science,Micro,Sarah Davis,3/6/2024,SAAS,Disqualified,3,,,586,100,3/3/2025,
Torphy and Sons,Italy,Manufacturing & Production,Micro,Sarah Davis,1/18/2024,Services,Disqualified,3,,,798,20,12/26/2024,
Williamson-Nicolas,Switzerland,Construction & Engineering,Micro,Sarah Davis,4/15/2024,SAAS,Disqualified,3,,,1038,50,3/3/2025,
Howe and Sons,France,Recreation & Sports,Micro,Laura Thompson,2/14/2024,Custom solution,Disqualified,3,,,461,40,8/16/2024,
Wisoky and Sons,Austria,Recreation & Sports,Micro,Jessica Martinez,4/28/2024,SAAS,Disqualified,3,,,726,40,6/18/2024,
"Johnston, Ankunding and Raynor",Italy,IT & IT Services,Micro,Michael Brown,3/17/2024,SAAS,Disqualified,3,,,830,60,9/2/2024,
Daniel-Hackett,Germany,Telecommunications,Micro,Michael Brown,1/13/2024,SAAS,Disqualified,3,,,278,50,12/9/2024,
Wilkinson-Wolff,Germany,Entertainment & Media & Hospitality,Micro,Laura Thompson,4/21/2024,Services,Disqualified,3,,,958,70,1/28/2025,
"Cummerata, Tillman and Konopelski",Portugal,Telecommunications,Micro,Jessica Martinez,3/25/2024,SAAS,Disqualified,3,,,926,20,1/9/2025,
"Pfeffer, Terry and Kiehn",Portugal,Education & Science,Micro,David Wilson,1/7/2024,SAAS,Disqualified,3,,,620,70,8/4/2024,
Cremin Inc,Austria,Professional Services  & Consulting,Micro,Laura Thompson,4/10/2024,SAAS,Disqualified,3,,,636,60,4/3/2025,
"Hauck, Hermiston and Hodkiewicz",Austria,Professional Services  & Consulting,Micro,Michael Brown,1/22/2024,Services,Disqualified,3,,,982,50,10/12/2024,
Wyman Group,Austria,Banking and Finance,Micro,Laura Thompson,1/24/2024,Services,Disqualified,3,,,982,60,8/14/2024,
"Marvin, Maggio and Herman",Germany,Entertainment & Media & Hospitality,Micro,John Smith,3/8/2024,Services,Disqualified,3,,,367,100,12/28/2024,
Aufderhar-Daugherty,Italy,Banking and Finance,Micro,Laura Thompson,1/6/2024,SAAS,Disqualified,3,,,1098,40,4/24/2024,
Brown-Erdman,Germany,Transportation & Logistics,Micro,David Wilson,4/22/2024,Custom solution,Disqualified,3,,,664,20,12/29/2024,
Kub and Sons,Portugal,Energy & Utilities,Micro,David Wilson,5/22/2024,Services,Disqualified,3,,,990,70,1/3/2025,
"Towne, Jacobs and Runte",France,Transportation & Logistics,Micro,Michael Brown,1/21/2024,Custom solution,Disqualified,3,,,1162,40,4/18/2024,
Jatri,Switzerland,Professional Services  & Consulting,Medium,Laura Thompson,2/21/2024,SAAS,Disqualified,3,,,3506,40,2/16/2025,
Yodo,Italy,Professional Services  & Consulting,Medium,John Smith,5/8/2024,SAAS,Disqualified,3,,,289,40,8/13/2024,
Skalith,Switzerland,Agriculture & Mining,Medium,Laura Thompson,5/14/2024,Services,Disqualified,3,,,6754,30,6/5/2024,
Vinder,Italy,Education & Science,Medium,Sarah Davis,3/12/2024,Services,Disqualified,3,,,6897,40,1/13/2025,
Photojam,Portugal,Agriculture & Mining,Medium,David Wilson,5/3/2024,SAAS,Disqualified,3,,,1437,50,3/20/2025,
Voonix,Spain,Recreation & Sports,Medium,David Wilson,4/24/2024,Services,Disqualified,3,,,3994,30,2/13/2025,
Dynabox,Italy,Retail & Distribution,Medium,Emily Johnson,1/24/2024,Custom solution,Disqualified,3,,,5221,40,10/6/2024,
Riffpath,Spain,Professional Services  & Consulting,Medium,David Wilson,5/16/2024,Services,Disqualified,3,,,3292,60,4/1/2025,
Tambee,Austria,Banking and Finance,Medium,John Smith,3/19/2024,SAAS,Disqualified,3,,,5877,50,12/5/2024,
Feedmix,Portugal,IT & IT Services,Medium,Jessica Martinez,4/18/2024,Services,Disqualified,3,,,7026,40,11/7/2024,
Babbleset,Belgium,Banking and Finance,Medium,Emily Johnson,2/6/2024,Services,Disqualified,3,,,692,20,4/24/2024,
Flashdog,Belgium,Government Administration Healthcare,Medium,Michael Brown,5/16/2024,SAAS,Disqualified,3,,,5158,40,8/9/2024,
Myworks,Belgium,Energy & Utilities,Medium,David Wilson,5/8/2024,SAAS,Disqualified,3,,,1485,60,11/3/2024,
Feedfire,Switzerland,Government Administration Healthcare,Medium,Michael Brown,3/8/2024,SAAS,Disqualified,3,,,3139,90,11/13/2024,
Cogilith,Portugal,Transportation & Logistics,Medium,Jessica Martinez,4/18/2024,Custom solution,Disqualified,3,,,7646,10,11/22/2024,
Vinte,Belgium,Transportation & Logistics,Medium,Sarah Davis,2/5/2024,Services,Disqualified,3,,,7893,30,4/30/2024,
Flashpoint,Italy,IT & IT Services,Medium,Jessica Martinez,1/19/2024,Services,Disqualified,3,,,2490,30,3/3/2024,
Meembee,Portugal,Education & Science,Medium,Michael Brown,5/24/2024,SAAS,Disqualified,3,,,6309,40,9/5/2024,
Brightdog,Italy,Telecommunications,Medium,Michael Brown,5/28/2024,Services,Disqualified,3,,,7162,40,7/21/2024,
Edgepulse,Switzerland,Retail & Distribution,Medium,Emily Johnson,5/14/2024,Services,Disqualified,3,,,6188,80,1/5/2025,
Wunsch Inc,Italy,Entertainment & Media & Hospitality,Medium,David Wilson,3/8/2024,Services,Disqualified,3,,,3823,70,4/5/2024,
Wisoky-Schneider,Italy,IT & IT Services,Medium,Jessica Martinez,3/27/2024,Custom solution,Disqualified,3,,,6203,90,9/16/2024,
Gutmann-Williamson,Spain,IT & IT Services,Medium,Emily Johnson,3/10/2024,Custom solution,Disqualified,3,,,7516,40,7/28/2024,
Breitenberg Inc,Portugal,Agriculture & Mining,Medium,Sarah Davis,1/10/2024,Custom solution,Disqualified,3,,,7850,50,5/18/2024,
Koelpin and Sons,France,IT & IT Services,Medium,Kevin Anderson,4/24/2024,Services,Disqualified,3,,,7065,80,4/16/2025,
"Bernhard, Lindgren and Harvey",Portugal,Recreation & Sports,Medium,Sarah Davis,5/19/2024,Services,Disqualified,3,,,2090,40,5/14/2025,
Stoltenberg-Weimann,Italy,Telecommunications,Medium,Michael Brown,4/12/2024,SAAS,Disqualified,3,,,7110,50,2/22/2025,
Wilderman-Romaguera,Switzerland,Retail & Distribution,Medium,David Wilson,3/19/2024,Services,Disqualified,3,,,7626,30,2/26/2025,
Luettgen-Gorczany,Netherlands,Professional Services  & Consulting,Medium,Michael Brown,4/3/2024,Custom solution,Disqualified,3,,,6993,20,11/7/2024,
Gleason Group,Portugal,Energy & Utilities,Medium,Laura Thompson,4/15/2024,Services,Disqualified,3,,,423,60,4/9/2025,
Yost-Stiedemann,Germany,Banking and Finance,Medium,Michael Brown,1/27/2024,Custom solution,Disqualified,3,,,4590,40,7/20/2024,
Pagac LLC,Belgium,Entertainment & Media & Hospitality,Medium,John Smith,2/23/2024,Services,Disqualified,3,,,3253,20,8/24/2024,
Turcotte-Abshire,France,Banking and Finance,Medium,Michael Brown,3/16/2024,SAAS,Disqualified,3,,,7482,40,6/25/2024,
Goodwin-Bernier,France,IT & IT Services,Medium,John Smith,1/17/2024,SAAS,Disqualified,3,,,4776,30,5/22/2024,
Shields and Sons,Austria,Banking and Finance,Medium,John Smith,2/28/2024,Custom solution,Disqualified,3,,,4750,40,6/15/2024,
Gulgowski Group,France,IT & IT Services,Medium,Laura Thompson,2/25/2024,SAAS,Disqualified,3,,,6320,50,11/6/2024,
Paucek-Hodkiewicz,Belgium,Transportation & Logistics,Medium,Laura Thompson,5/8/2024,Services,Disqualified,3,,,3005,20,3/5/2025,
Kreiger Inc,Portugal,Energy & Utilities,Medium,Michael Brown,3/10/2024,SAAS,Disqualified,3,,,6130,30,10/2/2024,
Schinner Group,Portugal,Education & Science,Medium,Jessica Martinez,3/18/2024,SAAS,Disqualified,3,,,6360,60,10/18/2024,
Haag Inc,Italy,Manufacturing & Production,Medium,Michael Brown,2/13/2024,SAAS,Disqualified,3,,,3613,30,1/24/2025,
"Ratke, Runolfsson and Pollich",Austria,IT & IT Services,Medium,Jessica Martinez,2/5/2024,SAAS,Disqualified,3,,,3494,10,8/11/2024,
"Hodkiewicz, Stanton and Howell",Italy,Recreation & Sports,Medium,Michael Brown,1/11/2024,Services,Disqualified,3,,,7581,50,12/4/2024,
"Koepp, Walsh and Kovacek",France,Professional Services  & Consulting,Medium,John Smith,4/23/2024,SAAS,Disqualified,3,,,5827,30,3/21/2025,
McLaughlin-Baumbach,Portugal,Manufacturing & Production,Medium,Laura Thompson,4/24/2024,Services,Disqualified,3,,,7754,50,1/25/2025,
"Koepp, Kihn and Yost",Netherlands,Banking and Finance,Medium,Jessica Martinez,4/19/2024,Services,Disqualified,3,,,542,10,6/5/2024,
Aufderhar-Donnelly,France,Banking and Finance,Medium,Michael Brown,5/12/2024,SAAS,Disqualified,3,,,5161,40,9/16/2024,
Cassin LLC,Italy,Professional Services  & Consulting,Medium,John Smith,4/26/2024,Services,Disqualified,3,,,860,30,4/3/2025,
Hoppe-Price,Switzerland,Energy & Utilities,Medium,Sarah Davis,4/2/2024,Services,Disqualified,3,,,2664,30,8/1/2024,
Stracke-West,France,IT & IT Services,Medium,Laura Thompson,4/30/2024,Services,Disqualified,3,,,7808,20,11/4/2024,
Hessel-Miller,France,Entertainment & Media & Hospitality,Medium,Emily Johnson,5/22/2024,Services,Disqualified,3,,,5821,30,6/13/2024,
Murazik-Towne,France,IT & IT Services,Medium,Kevin Anderson,4/16/2024,SAAS,Disqualified,3,,,6404,40,7/22/2024,
"Prohaska, Hahn and Klocko",Belgium,Agriculture & Mining,Medium,Laura Thompson,5/31/2024,Services,Disqualified,3,,,1872,20,3/6/2025,
"Schaefer, Feest and Watsica",Austria,Education & Science,Medium,Michael Brown,3/15/2024,SAAS,Disqualified,3,,,7798,40,2/28/2025,
Lind and Sons,Germany,Manufacturing & Production,Medium,Michael Brown,3/2/2024,SAAS,Disqualified,3,,,2725,50,7/1/2024,
Swaniawski-Quigley,France,Construction & Engineering,Medium,Emily Johnson,3/10/2024,SAAS,Disqualified,3,,,653,40,7/20/2024,
Effertz-Pfannerstill,Netherlands,Recreation & Sports,Medium,Kevin Anderson,5/31/2024,Services,Disqualified,3,,,3845,50,12/22/2024,
Becker LLC,Portugal,Transportation & Logistics,Medium,Emily Johnson,3/27/2024,Services,Disqualified,3,,,2862,70,6/3/2024,
Thompson-Schaefer,Austria,Transportation & Logistics,Medium,Emily Johnson,1/3/2024,SAAS,Disqualified,3,,,6413,30,9/16/2024,
Jones LLC,France,Government Administration Healthcare,Medium,Emily Johnson,2/4/2024,Services,Disqualified,3,,,5296,30,3/18/2024,
Spencer-Beahan,Switzerland,Telecommunications,Medium,Jessica Martinez,1/10/2024,Services,Disqualified,3,,,2269,30,12/16/2024,
Hessel-Conn,Spain,IT & IT Services,Medium,Jessica Martinez,2/11/2024,SAAS,Disqualified,3,,,5129,30,4/4/2024,
"Skiles, Sawayn and Bradtke",Switzerland,Agriculture & Mining,Medium,John Smith,1/14/2024,SAAS,Disqualified,3,,,3756,20,6/13/2024,
"Okuneva, Dooley and Schaden",Belgium,Construction & Engineering,Medium,Laura Thompson,4/3/2024,SAAS,Disqualified,3,,,7165,40,12/2/2024,
"Kub, Aufderhar and Ward",Switzerland,Transportation & Logistics,Medium,Emily Johnson,1/20/2024,Custom solution,Disqualified,3,,,1241,40,9/9/2024,
Orn-Kassulke,Switzerland,Transportation & Logistics,Medium,John Smith,3/17/2024,SAAS,Disqualified,3,,,4487,40,2/2/2025,
"Mills, Ortiz and McGlynn",Netherlands,Retail & Distribution,Medium,Kevin Anderson,2/21/2024,SAAS,Disqualified,3,,,1725,60,6/11/2024,
Gleason-Price,France,Construction & Engineering,Medium,Laura Thompson,5/2/2024,Services,Disqualified,3,,,2081,70,5/24/2024,
Schaden and Sons,Spain,IT & IT Services,Medium,Emily Johnson,1/8/2024,Services,Disqualified,3,,,4044,60,8/12/2024,
Von and Sons,Switzerland,Transportation & Logistics,Medium,Jessica Martinez,2/20/2024,Services,Disqualified,3,,,741,60,5/19/2024,
Bartell-Kirlin,Switzerland,Transportation & Logistics,Medium,Emily Johnson,4/26/2024,Services,Disqualified,3,,,5826,40,12/18/2024,
Gutkowski-Baumbach,Switzerland,Banking and Finance,Medium,Jessica Martinez,1/27/2024,SAAS,Disqualified,3,,,6543,20,4/13/2024,
"Osinski, Wisoky and Schimmel",Spain,IT & IT Services,Medium,John Smith,4/24/2024,Services,Disqualified,3,,,1554,50,2/24/2025,
Schneider-Schuppe,Switzerland,Transportation & Logistics,Medium,Laura Thompson,5/10/2024,Services,Disqualified,3,,,3931,10,10/8/2024,
"Crist, Okuneva and Veum",Belgium,Transportation & Logistics,Medium,Michael Brown,4/16/2024,Custom solution,Disqualified,3,,,5437,90,10/6/2024,
Rosenbaum-Upton,Spain,Banking and Finance,Medium,Jessica Martinez,4/10/2024,Services,Disqualified,3,,,3858,90,3/8/2025,
Wolf Group,Belgium,Manufacturing & Production,Medium,David Wilson,4/28/2024,SAAS,Disqualified,3,,,5767,20,6/10/2024,
"Nolan, D'Amore and Wyman",Spain,Transportation & Logistics,Medium,Emily Johnson,3/15/2024,Services,Disqualified,3,,,1713,50,10/29/2024,
"Kunde, Reinger and Jerde",Switzerland,Government Administration Healthcare,Medium,Kevin Anderson,4/17/2024,SAAS,Disqualified,3,,,2750,30,12/9/2024,
Edgeclub,Germany,Banking and Finance,Large,Laura Thompson,3/13/2024,SAAS,Disqualified,3,,,5353,30,7/19/2024,
Schmidt-Beier,Italy,Banking and Finance,Large,Laura Thompson,3/28/2024,Custom solution,Disqualified,3,,,19224,30,5/21/2024,
Smitham and Sons,Germany,IT & IT Services,Large,Michael Brown,3/26/2024,Services,Disqualified,3,,,5474,50,5/22/2024,
"Spencer, Langworth and Hackett",Austria,Recreation & Sports,Enterprise,John Smith,2/10/2024,SAAS,Disqualified,3,,,13724,20,9/10/2024,
Lebsack LLC,Italy,Manufacturing & Production,Enterprise,Michael Brown,5/22/2024,Custom solution,Disqualified,3,,,11121,20,12/24/2024,
Muller Inc,Germany,Transportation & Logistics,Enterprise,John Smith,1/29/2024,Custom solution,Disqualified,3,,,14687,70,12/31/2024,
Oberbrunner-Metz,Italy,Education & Science,Enterprise,John Smith,4/14/2024,SAAS,Disqualified,3,,,4281,60,9/12/2024,
Schamberger-Rutherford,Italy,Banking and Finance,Enterprise,Kevin Anderson,5/2/2024,Custom solution,Disqualified,3,,,3063,100,2/13/2025,
Trilia,Italy,Transportation & Logistics,Small,Emily Johnson,1/2/2024,SAAS,New,1,,,478,50,10/31/2024,
Yotz,Belgium,IT & IT Services,Small,Laura Thompson,5/10/2024,Custom solution,New,1,,,1380,80,11/6/2024,
Teklist,Germany,Transportation & Logistics,Small,Laura Thompson,1/26/2024,Services,New,1,,,396,60,11/3/2024,
Tagopia,France,Telecommunications,Small,Emily Johnson,1/6/2024,SAAS,New,1,,,1087,30,5/17/2024,
Skyvu,Austria,Transportation & Logistics,Small,Laura Thompson,3/23/2024,SAAS,New,1,,,590,30,3/22/2025,
Divanoodle,Portugal,Banking and Finance,Small,John Smith,5/15/2024,Custom solution,New,1,,,1668,90,7/17/2024,
Meeveo,Spain,Agriculture & Mining,Small,John Smith,2/25/2024,SAAS,New,1,,,680,30,1/14/2025,
Avamm,Switzerland,Professional Services  & Consulting,Small,Jessica Martinez,5/25/2024,SAAS,New,1,,,474,40,3/25/2025,
Edgetag,Italy,Professional Services  & Consulting,Small,Jessica Martinez,3/4/2024,Services,New,1,,,1850,20,10/5/2024,
Photolist,Portugal,IT & IT Services,Small,Kevin Anderson,2/3/2024,Custom solution,New,1,,,1007,90,11/27/2024,
Tavu,Italy,Professional Services  & Consulting,Small,Kevin Anderson,4/11/2024,Services,New,1,,,1345,90,5/22/2024,
Jetwire,Germany,Manufacturing & Production,Small,Jessica Martinez,5/27/2024,Services,New,1,,,1038,50,12/14/2024,
Ntag,Portugal,Education & Science,Small,David Wilson,4/3/2024,SAAS,New,1,,,458,20,9/14/2024,
Twinte,Italy,Transportation & Logistics,Small,Laura Thompson,5/12/2024,Services,New,1,,,442,30,12/24/2024,
Livepath,Switzerland,Transportation & Logistics,Small,Laura Thompson,4/27/2024,SAAS,New,1,,,1997,50,4/11/2025,
Meetz,Austria,Education & Science,Small,David Wilson,3/28/2024,Custom solution,New,1,,,1717,20,5/23/2024,
Gigaclub,Germany,Energy & Utilities,Small,David Wilson,1/3/2024,SAAS,New,1,,,1640,30,11/30/2024,
Yadel,Italy,Manufacturing & Production,Small,Emily Johnson,5/1/2024,Services,New,1,,,855,70,2/23/2025,
Eabox,France,Recreation & Sports,Small,Jessica Martinez,3/12/2024,Services,New,1,,,1056,100,3/10/2025,
Dabjam,Netherlands,Manufacturing & Production,Small,John Smith,2/27/2024,Custom solution,New,1,,,966,10,6/13/2024,
Blogpad,Switzerland,Professional Services  & Consulting,Small,Jessica Martinez,2/27/2024,Custom solution,New,1,,,344,40,10/11/2024,
Topiczoom,Belgium,Recreation & Sports,Small,Michael Brown,5/29/2024,Services,New,1,,,407,70,4/13/2025,
Rhyloo,Portugal,Energy & Utilities,Small,Kevin Anderson,1/21/2024,Services,New,1,,,1965,40,1/17/2025,
Mydo,Austria,Energy & Utilities,Small,Laura Thompson,1/7/2024,Custom solution,New,1,,,1494,20,6/14/2024,
Thoughtstorm,Germany,Energy & Utilities,Small,David Wilson,3/13/2024,Custom solution,New,1,,,1837,10,4/6/2024,
Topicware,Germany,Construction & Engineering,Small,John Smith,3/31/2024,Services,New,1,,,1175,20,1/10/2025,
Tekfly,France,Telecommunications,Small,David Wilson,3/9/2024,Services,New,1,,,617,40,6/10/2024,
Wikivu,Italy,Transportation & Logistics,Small,David Wilson,1/28/2024,Services,New,1,,,1538,50,10/14/2024,
"Schroeder, Reichert and Hettinger",Netherlands,Banking and Finance,Small,Kevin Anderson,1/6/2024,SAAS,New,1,,,434,50,10/21/2024,
"Gorczany, Kuphal and Mayert",Netherlands,Professional Services  & Consulting,Small,Laura Thompson,2/27/2024,Custom solution,New,1,,,870,60,1/20/2025,
"Dietrich, Boehm and Corkery",Italy,Education & Science,Small,Kevin Anderson,5/30/2024,SAAS,New,1,,,1225,30,9/26/2024,
"Murphy, Schuster and Kub",Switzerland,Government Administration Healthcare,Small,Laura Thompson,1/4/2024,SAAS,New,1,,,1804,50,3/4/2024,
Pouros-Schneider,Portugal,Construction & Engineering,Small,Jessica Martinez,1/17/2024,Custom solution,New,1,,,1063,60,2/25/2024,
"Crist, Price and Johns",Austria,Government Administration Healthcare,Small,David Wilson,3/3/2024,SAAS,New,1,,,341,10,2/18/2025,
Littel LLC,Switzerland,Agriculture & Mining,Small,John Smith,3/14/2024,Services,New,1,,,1454,20,5/13/2024,
Wisozk-Thompson,France,Banking and Finance,Small,Laura Thompson,4/6/2024,SAAS,New,1,,,263,80,9/26/2024,
D'Amore Group,France,IT & IT Services,Small,Jessica Martinez,5/25/2024,Custom solution,New,1,,,976,100,11/7/2024,
Mitchell Group,Belgium,Government Administration Healthcare,Small,Sarah Davis,1/8/2024,SAAS,New,1,,,1977,60,8/14/2024,
Lowe-Grimes,France,Professional Services  & Consulting,Small,Sarah Davis,2/14/2024,Services,New,1,,,1940,50,10/6/2024,
"O'Reilly, Harvey and Cassin",France,Telecommunications,Small,Sarah Davis,4/23/2024,Custom solution,New,1,,,945,60,7/10/2024,
